"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"RtlReleaseSRWLockShared","0.000399998","1075200","0","ntdll.dll","RtlReleaseSRWLockShared","[Unknown]","0x18003cc80"
"func@0x14040a230","0.000399998","0","0.0416667","ntoskrnl.exe","func@0x14040a230","[Unknown]","0x14040a230"
"func@0x180014d60","0.000399998","537600","0.0555556","bdhkm64.dll","func@0x180014d60","[Unknown]","0x180014d60"
"func@0x140293920","0.000299999","537600","0.25","ntoskrnl.exe","func@0x140293920","[Unknown]","0x140293920"
"func@0x140256eb5","0.000299999","537600","0.25","ntoskrnl.exe","func@0x140256eb5","[Unknown]","0x140256eb5"
"func@0x1406163c0","0.000299999","0","0.125","atc.sys","func@0x1406163c0","[Unknown]","0x1406163c0"
"func@0x1405f07e0","0.000299999","1612800","","atc.sys","func@0x1405f07e0","[Unknown]","0x1405f07e0"
"func@0x140283ead","0.000299999","2688000","0.0714286","ntoskrnl.exe","func@0x140283ead","[Unknown]","0x140283ead"
"func@0x1403ad370","0.000299999","0","0.5","ntoskrnl.exe","func@0x1403ad370","[Unknown]","0x1403ad370"
"func@0x140bc0760","0.000299999","2150400","0.25","ntoskrnl.exe","func@0x140bc0760","[Unknown]","0x140bc0760"
"func@0x1402a0f93","0.000299999","0","0.0714286","ntoskrnl.exe","func@0x1402a0f93","[Unknown]","0x1402a0f93"
"func@0x1405de530","0.000299999","6451200","0.333333","ntoskrnl.exe","func@0x1405de530","[Unknown]","0x1405de530"
"func@0x140480bc0","0.000299999","1075200","0","atc.sys","func@0x140480bc0","[Unknown]","0x140480bc0"
"func@0x1402a03b0","0.000299999","4300800","0.111111","ntoskrnl.exe","func@0x1402a03b0","[Unknown]","0x1402a03b0"
"func@0x140344f90","0.000299999","537600","0","ntoskrnl.exe","func@0x140344f90","[Unknown]","0x140344f90"
"func@0x14027f360","0.000299999","1075200","0","ntoskrnl.exe","func@0x14027f360","[Unknown]","0x14027f360"
"stbiw__jpg_writeBits","0.000299999","3225600","0.2","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024711"
"func@0x140320250","0.000299999","3763200","0.7","ntoskrnl.exe","func@0x140320250","[Unknown]","0x140320250"
"func@0x1402272f0","0.000299999","537600","0.5","ntoskrnl.exe","func@0x1402272f0","[Unknown]","0x1402272f0"
"func@0x140600020","0.000299999","0","0","atc.sys","func@0x140600020","[Unknown]","0x140600020"
"func@0x1402138b1","0.000299999","0","0.5","ntoskrnl.exe","func@0x1402138b1","[Unknown]","0x1402138b1"
"ExAcquireSpinLockExclusiveAtDpcLevel","0.000299999","0","0.166667","ntoskrnl.exe","ExAcquireSpinLockExclusiveAtDpcLevel","[Unknown]","0x14032ecd0"
"func@0x1402d0460","0.000299999","537600","0.25","ntoskrnl.exe","func@0x1402d0460","[Unknown]","0x1402d0460"
"func@0x14024c277","0.000299999","2688000","0.25","ntoskrnl.exe","func@0x14024c277","[Unknown]","0x14024c277"
"func@0x140217670","0.000299999","0","0.0833333","igdkmdn64.sys","func@0x140217670","[Unknown]","0x140217670"
"func@0x1402fdfc0","0.000299999","1075200","0.3","ntoskrnl.exe","func@0x1402fdfc0","[Unknown]","0x1402fdfc0"
"ExReleaseRundownProtection","0.000299999","0","0.25","ntoskrnl.exe","ExReleaseRundownProtection","[Unknown]","0x14020dda0"
"func@0x14037f840","0.000299999","537600","0.1","atc.sys","func@0x14037f840","[Unknown]","0x14037f840"
"func@0x140404690","0.000299999","1612800","1","ntoskrnl.exe","func@0x140404690","[Unknown]","0x140404690"
"func@0x14031ff50","0.000299999","1075200","0.1875","ntoskrnl.exe","func@0x14031ff50","[Unknown]","0x14031ff50"
"func@0x18000d8b0","0.000299999","0","0.333333","fltmgr.sys","func@0x18000d8b0","[Unknown]","0x18000d8b0"
"func@0x1404efaa0","0.000299999","0","0.2","ntoskrnl.exe","func@0x1404efaa0","[Unknown]","0x1404efaa0"
"func@0x140298d30","0.000299999","1612800","0.230769","ntoskrnl.exe","func@0x140298d30","[Unknown]","0x140298d30"
